date,color,city,description,start
5/30/18,FFFFCC,Krabi,"If Pai is a tropical island in the mountains, Railay Beach is mountains on a tropical island. With limestone cliffs, white-sand beaches, and water-front caves, it's a rock-climber's paradise. This peninsula has no roads, no cars, and Tonsai Beach (the beach next to Railay where we were staying) has practically no people. Just one \""Chill Out Bar\"" with a fire dancing show and Jenga. Quite the combo. In our time here we packed in plenty of beach time, a full day of climbing, paddleboarding at (and after) sunset, and unexpectedly meeting monkeys on our jungle trek from Tonsai to Railay one afternoon.",y
5/31/18,FFFFCC,Krabi,"If Pai is a tropical island in the mountains, Railay Beach is mountains on a tropical island. With limestone cliffs, white-sand beaches, and water-front caves, it's a rock-climber's paradise. This peninsula has no roads, no cars, and Tonsai Beach (the beach next to Railay where we were staying) has practically no people. Just one \""Chill Out Bar\"" with a fire dancing show and Jenga. Quite the combo. In our time here we packed in plenty of beach time, a full day of climbing, paddleboarding at (and after) sunset, and unexpectedly meeting monkeys on our jungle trek from Tonsai to Railay one afternoon.",
6/1/18,FFFFCC,Krabi,"If Pai is a tropical island in the mountains, Railay Beach is mountains on a tropical island. With limestone cliffs, white-sand beaches, and water-front caves, it's a rock-climber's paradise. This peninsula has no roads, no cars, and Tonsai Beach (the beach next to Railay where we were staying) has practically no people. Just one \""Chill Out Bar\"" with a fire dancing show and Jenga. Quite the combo. In our time here we packed in plenty of beach time, a full day of climbing, paddleboarding at (and after) sunset, and unexpectedly meeting monkeys on our jungle trek from Tonsai to Railay one afternoon.",
6/2/18,FFFFCC,Krabi,"If Pai is a tropical island in the mountains, Railay Beach is mountains on a tropical island. With limestone cliffs, white-sand beaches, and water-front caves, it's a rock-climber's paradise. This peninsula has no roads, no cars, and Tonsai Beach (the beach next to Railay where we were staying) has practically no people. Just one \""Chill Out Bar\"" with a fire dancing show and Jenga. Quite the combo. In our time here we packed in plenty of beach time, a full day of climbing, paddleboarding at (and after) sunset, and unexpectedly meeting monkeys on our jungle trek from Tonsai to Railay one afternoon.",
6/3/18,FFFFFF,Kuala Lumpur,"The capital of Malaysia - and an Air Asia hub. We stopped here for an extended layover of 2 nights to explore the city. Which made us truly realize that we are not quite city people. But even a city holds treasure for those who don't find themselves at home in cities - we started our one full day at Batu Caves (biggest cave I've ever seen, complete with monkeys and a temple), followed by a lot of walking, escaping the heat a bit for lunch and ice cream at malls (now we know why it's called MALaysia), and a fountain light show at sundown near the famous Petronas Towers.",y
6/4/18,CBF3F0,Lombok,"The Gilis - tiny islands off the coast of Lombok, Indonesia (not-as-tiny island next to Bali) - are known as one of the best scuba spots in the world. So if we're here, why not check out what makes this place so famous. While we weren't originally planning on diving at the start of our trip, I'm so glad we decided on getting scuba certified here. And if scuba's not your thing, there are plenty of other activities too - snorkeling, walking around the island (no cars, just bikes and horse-drawn buggies), catching live music on the main stretch (while watching the night divers crawl out of the water out of nowhere like aliens.)",y
6/5/18,CBF3F0,Lombok,"The Gilis - tiny islands off the coast of Lombok, Indonesia (not-as-tiny island next to Bali) - are known as one of the best scuba spots in the world. So if we're here, why not check out what makes this place so famous. While we weren't originally planning on diving at the start of our trip, I'm so glad we decided on getting scuba certified here. And if scuba's not your thing, there are plenty of other activities too - snorkeling, walking around the island (no cars, just bikes and horse-drawn buggies), catching live music on the main stretch (while watching the night divers crawl out of the water out of nowhere like aliens.)",
6/6/18,CBF3F0,Lombok,"The Gilis - tiny islands off the coast of Lombok, Indonesia (not-as-tiny island next to Bali) - are known as one of the best scuba spots in the world. So if we're here, why not check out what makes this place so famous. While we weren't originally planning on diving at the start of our trip, I'm so glad we decided on getting scuba certified here. And if scuba's not your thing, there are plenty of other activities too - snorkeling, walking around the island (no cars, just bikes and horse-drawn buggies), catching live music on the main stretch (while watching the night divers crawl out of the water out of nowhere like aliens.)",
6/7/18,CBF3F0,Lombok,"The Gilis - tiny islands off the coast of Lombok, Indonesia (not-as-tiny island next to Bali) - are known as one of the best scuba spots in the world. So if we're here, why not check out what makes this place so famous. While we weren't originally planning on diving at the start of our trip, I'm so glad we decided on getting scuba certified here. And if scuba's not your thing, there are plenty of other activities too - snorkeling, walking around the island (no cars, just bikes and horse-drawn buggies), catching live music on the main stretch (while watching the night divers crawl out of the water out of nowhere like aliens.)",
6/8/18,CBF3F0,Lombok,"The Gilis - tiny islands off the coast of Lombok, Indonesia (not-as-tiny island next to Bali) - are known as one of the best scuba spots in the world. So if we're here, why not check out what makes this place so famous. While we weren't originally planning on diving at the start of our trip, I'm so glad we decided on getting scuba certified here. And if scuba's not your thing, there are plenty of other activities too - snorkeling, walking around the island (no cars, just bikes and horse-drawn buggies), catching live music on the main stretch (while watching the night divers crawl out of the water out of nowhere like aliens.)",
6/9/18,CBF3F0,Lombok,"The Gilis - tiny islands off the coast of Lombok, Indonesia (not-as-tiny island next to Bali) - are known as one of the best scuba spots in the world. So if we're here, why not check out what makes this place so famous. While we weren't originally planning on diving at the start of our trip, I'm so glad we decided on getting scuba certified here. And if scuba's not your thing, there are plenty of other activities too - snorkeling, walking around the island (no cars, just bikes and horse-drawn buggies), catching live music on the main stretch (while watching the night divers crawl out of the water out of nowhere like aliens.)",
6/10/18,2EC4B6,Padang Bai,"The main port on the east coast of Bali - woo we made it to Bali! Not much in Padang Bai itself, but definitely a hub for inland adventures. We used Padang Bai as a base for our sunrise hike up Mount Batur - a volcano on Bali. What an adventure: picked up at our hotel at 2am, fried bananas at 3am, hiking from 3:30-5:30am, sunrise, walking the crater rim (surrounded by more monkeys of course), and jogging down. Not often that you can say you hiked up and down a volcano before 9am!",y
6/11/18,2EC4B6,Padang Bai,"The main port on the east coast of Bali - woo we made it to Bali! Not much in Padang Bai itself, but definitely a hub for inland adventures. We used Padang Bai as a base for our sunrise hike up Mount Batur - a volcano on Bali. What an adventure: picked up at our hotel at 2am, fried bananas at 3am, hiking from 3:30-5:30am, sunrise, walking the crater rim (surrounded by more monkeys of course), and jogging down. Not often that you can say you hiked up and down a volcano before 9am!",
6/12/18,009999,Nusa Lembongan,"Another island, another chance for island activities! Nusa Lembongan, the middle of three islands off the coast of Bali, is known for it's surfing, scuba, and sunsets. Diving certification in hand, we signed up for our real \""test\"" - diving in the open water without our Gili instructor watching over us (we still had a dive master though - definitely not diving alone anytime soon!). We were thrilled when 40-minutes into our 50-minute dive, we saw a huge manta ray float right past us like an eagle! Surfing the next morning on the reef break playground, followed by yoga, and incredible sunsets, filled out our time here.",y
6/13/18,009999,Nusa Lembongan,"Another island, another chance for island activities! Nusa Lembongan, the middle of three islands off the coast of Bali, is known for it's surfing, scuba, and sunsets. Diving certification in hand, we signed up for our real \""test\"" - diving in the open water without our Gili instructor watching over us (we still had a dive master though - definitely not diving alone anytime soon!). We were thrilled when 40-minutes into our 50-minute dive, we saw a huge manta ray float right past us like an eagle! Surfing the next morning on the reef break playground, followed by yoga, and incredible sunsets, filled out our time here.",
6/14/18,009999,Nusa Lembongan,"Another island, another chance for island activities! Nusa Lembongan, the middle of three islands off the coast of Bali, is known for it's surfing, scuba, and sunsets. Diving certification in hand, we signed up for our real \""test\"" - diving in the open water without our Gili instructor watching over us (we still had a dive master though - definitely not diving alone anytime soon!). We were thrilled when 40-minutes into our 50-minute dive, we saw a huge manta ray float right past us like an eagle! Surfing the next morning on the reef break playground, followed by yoga, and incredible sunsets, filled out our time here.",
6/15/18,006666,Ubud,"For our last few days in Asia, we said bye to the beaches (until right before our flights, when we had to take a dip) and headed inland to Ubud. Even though our vacation featured quite a bit of monkeys already, we still couldn't pass up the opportunity to check out Ubud's famous Monkey Forest. Over 600 monkeys roaming free beside you, is not something you'll find in many other places in the world. The monkeys really seemed to like Rachel's backpack (and the Cliff bar wrappers in the side pocket), and... my head. Maybe the blonde hair is similar to a banana? That's my logic at least. The next day, we checked out the small-family owned Tegalalong Rice Terrace, a coffee and spice plantation, and spring water temple, Tirta Empel.",y
6/16/18,006666,Ubud,"For our last few days in Asia, we said bye to the beaches (until right before our flights, when we had to take a dip) and headed inland to Ubud. Even though our vacation featured quite a bit of monkeys already, we still couldn't pass up the opportunity to check out Ubud's famous Monkey Forest. Over 600 monkeys roaming free beside you, is not something you'll find in many other places in the world. The monkeys really seemed to like Rachel's backpack (and the Cliff bar wrappers in the side pocket), and... my head. Maybe the blonde hair is similar to a banana? That's my logic at least. The next day, we checked out the small-family owned Tegalalong Rice Terrace, a coffee and spice plantation, and spring water temple, Tirta Empel.",
